iter	Logloss
0	0.5634024423
1	0.5162879611
2	0.4775983585
3	0.4408703136
4	0.4031656058
5	0.3361079993
6	0.2994817514
7	0.2629305668
8	0.249025578
9	0.2327239114
10	0.2110394455
11	0.2005113454
12	0.1891483331
13	0.1873470859
14	0.1828580287
15	0.1730204424
16	0.1710077568
17	0.1691387326
18	0.1659890771
19	0.161993421
20	0.1562884835
21	0.1546164094
22	0.1526549103
23	0.1513467818
24	0.1497076495
25	0.1494656187
26	0.1459160346
27	0.1435557811
28	0.1412883273
29	0.1410932626
30	0.1395569266
31	0.138572602
32	0.1383483508
33	0.1381213361
34	0.1369773873
35	0.136377924
36	0.1356497147
37	0.1352665507
38	0.1349422226
39	0.1348055594
40	0.1346495092
41	0.1345892653
42	0.134267667
43	0.1341089107
44	0.1339340738
45	0.1338632994
46	0.133708057
47	0.1327544782
48	0.1325337828
49	0.1324752361
50	0.1322127613
51	0.1320068287
52	0.1319482792
53	0.131786679
54	0.131731488
55	0.1313792307
56	0.1307978635
57	0.1300736156
58	0.1297554919
59	0.1294242155
60	0.1291403972
61	0.1289231707
62	0.1288864608
63	0.1288443937
64	0.128819173
65	0.1286674222
66	0.128440454
67	0.1283844918
68	0.1282339156
69	0.128049218
70	0.128025257
71	0.1277685853
72	0.127705576
73	0.1275523318
74	0.1275109946
75	0.1274712565
76	0.1274359481
77	0.127224409
78	0.126960727
79	0.1268149192
80	0.1266271062
81	0.1264887839
82	0.1264513402
83	0.1262181704
84	0.1259904439
85	0.125966093
86	0.1257559158
87	0.1255487279
88	0.1255201835
89	0.1254772375
90	0.1254458601
91	0.1254190595
92	0.1252817618
93	0.1251641033
94	0.1250309026
95	0.1249361702
96	0.124798187
97	0.1245619588
98	0.1244605797
99	0.1243703371
100	0.1243385011
101	0.1243138317
102	0.124157927
103	0.1241324613
104	0.1240297417
105	0.1240010598
106	0.1238240017
107	0.123617042
108	0.123458445
109	0.1233074533
110	0.1232839721
111	0.1232527419
112	0.1232144607
113	0.1231897032
114	0.1231761906
115	0.1230328639
116	0.1230101819
117	0.1229866126
118	0.1229533534
119	0.1229268205
120	0.1229063258
121	0.1228840738
122	0.1226860629
123	0.1226260673
124	0.1226049127
125	0.12256997
126	0.1225279554
127	0.1225095353
128	0.1224205547
129	0.1223941659
130	0.1223641095
131	0.1223050613
132	0.1222065427
133	0.1221673714
134	0.1221122841
135	0.1219682402
136	0.1219524101
137	0.1218060547
138	0.1217839163
139	0.121707994
140	0.1215609884
141	0.1215250184
142	0.1215120135
143	0.1214955668
144	0.1214737002
145	0.121439143
146	0.1214030726
147	0.1213763808
148	0.1211990915
149	0.1211521987
150	0.1211258417
151	0.1211074474
152	0.1210712051
153	0.1210552885
154	0.1210336101
155	0.121009169
156	0.1208517203
157	0.120827246
158	0.1205720445
159	0.1205512761
160	0.1205050518
161	0.1204037498
162	0.1203870467
163	0.1203710286
164	0.1202413934
165	0.1201763933
166	0.1201495935
167	0.1201034714
168	0.1200069996
169	0.1199810283
170	0.1199627099
171	0.1199451556
172	0.119933814
173	0.119921904
174	0.1197933812
175	0.1197525882
176	0.1197065395
177	0.1196903567
178	0.119636046
